"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","RDataPath","Tags"
"LRBaseDb for Anolis carolinensis (Anole lizard, v001)","Correspondence table between Ligand Gene ID and Receptor ID for Anolis carolinensis (Anole lizard)","3.13",NA,"CSV","http://fantom.gsc.riken.jp/5/suppl/Ramilowski_et_al_2015/data/PairsLigRec.txt,https://www.dropbox.com/s/dvvgudbgbhrlkud/ncomms8866-s3.xlsx?dl=1,https://www.dropbox.com/s/f2g65zrhrf99ljb/dlrp.txt?dl=1
mv dlrp.txt?dl=1 data/dlrp/dlrp.txt,http://www.guidetopharmacology.org/DATA/interactions.csv,http://hprd.org/edownload/HPRD_Release9_041310,https://stringdb-static.org/download/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz,http://www.ensembl.org/biomart,http://plants.ensembl.org/biomart,https://www.dropbox.com/s/66fw400bmoab89a/interactions_cellphonedb.csv?dl=1,https://www.dropbox.com/s/0l7oykri87wpr0x/heterodimers.csv?dl=1, https://www.dropbox.com/s/95mcq48j8osfno1/receptor_ligand_interactions_mitab_v1.0_April2017.txt.zip?dl=0,https://www.dropbox.com/s/w5t0qgxo8soszd4/LRdb.rda?dl=1,ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/homologene.data","31-Mar-2021","Anolis carolinensis",28377,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v001/LRBase.Aca.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Aca.eg.db:Anolis carolinensis:Anole lizard:v001"
"LRBaseDb for Aquila chrysaetos chrysaetos (Golden eagle, v001)","Correspondence table between Ligand Gene ID and Receptor ID for Aquila chrysaetos chrysaetos (Golden eagle)","3.13",NA,"CSV","http://fantom.gsc.riken.jp/5/suppl/Ramilowski_et_al_2015/data/PairsLigRec.txt,https://www.dropbox.com/s/dvvgudbgbhrlkud/ncomms8866-s3.xlsx?dl=1,https://www.dropbox.com/s/f2g65zrhrf99ljb/dlrp.txt?dl=1
mv dlrp.txt?dl=1 data/dlrp/dlrp.txt,http://www.guidetopharmacology.org/DATA/interactions.csv,http://hprd.org/edownload/HPRD_Release9_041310,https://stringdb-static.org/download/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz,http://www.ensembl.org/biomart,http://plants.ensembl.org/biomart,https://www.dropbox.com/s/66fw400bmoab89a/interactions_cellphonedb.csv?dl=1,https://www.dropbox.com/s/0l7oykri87wpr0x/heterodimers.csv?dl=1, https://www.dropbox.com/s/95mcq48j8osfno1/receptor_ligand_interactions_mitab_v1.0_April2017.txt.zip?dl=0,https://www.dropbox.com/s/w5t0qgxo8soszd4/LRdb.rda?dl=1,ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/homologene.data","31-Mar-2021","Aquila chrysaetos chrysaetos",223781,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v001/LRBase.Acc.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Acc.eg.db:Aquila chrysaetos chrysaetos:Golden eagle:v001"
"LRBaseDb for Astatotilapia calliptera (Eastern happy, v001)","Correspondence table between Ligand Gene ID and Receptor ID for Astatotilapia calliptera (Eastern happy)","3.13",NA,"CSV","http://fantom.gsc.riken.jp/5/suppl/Ramilowski_et_al_2015/data/PairsLigRec.txt,https://www.dropbox.com/s/dvvgudbgbhrlkud/ncomms8866-s3.xlsx?dl=1,https://www.dropbox.com/s/f2g65zrhrf99ljb/dlrp.txt?dl=1
mv dlrp.txt?dl=1 data/dlrp/dlrp.txt,http://www.guidetopharmacology.org/DATA/interactions.csv,http://hprd.org/edownload/HPRD_Release9_041310,https://stringdb-static.org/download/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz,http://www.ensembl.org/biomart,http://plants.ensembl.org/biomart,https://www.dropbox.com/s/66fw400bmoab89a/interactions_cellphonedb.csv?dl=1,https://www.dropbox.com/s/0l7oykri87wpr0x/heterodimers.csv?dl=1, https://www.dropbox.com/s/95mcq48j8osfno1/receptor_ligand_interactions_mitab_v1.0_April2017.txt.zip?dl=0,https://www.dropbox.com/s/w5t0qgxo8soszd4/LRdb.rda?dl=1,ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/homologene.data","31-Mar-2021","Astatotilapia calliptera",8154,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v001/LRBase.Acl.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Acl.eg.db:Astatotilapia calliptera:Eastern happy:v001"
"LRBaseDb for Anopheles gambiae str. PEST (Anopheline, v001)","Correspondence table between Ligand Gene ID and Receptor ID for Anopheles gambiae str. PEST (Anopheline)","3.13",NA,"CSV","http://fantom.gsc.riken.jp/5/suppl/Ramilowski_et_al_2015/data/PairsLigRec.txt,https://www.dropbox.com/s/dvvgudbgbhrlkud/ncomms8866-s3.xlsx?dl=1,https://www.dropbox.com/s/f2g65zrhrf99ljb/dlrp.txt?dl=1
mv dlrp.txt?dl=1 data/dlrp/dlrp.txt,http://www.guidetopharmacology.org/DATA/interactions.csv,http://hprd.org/edownload/HPRD_Release9_041310,https://stringdb-static.org/download/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz,http://www.ensembl.org/biomart,http://plants.ensembl.org/biomart,https://www.dropbox.com/s/66fw400bmoab89a/interactions_cellphonedb.csv?dl=1,https://www.dropbox.com/s/0l7oykri87wpr0x/heterodimers.csv?dl=1, https://www.dropbox.com/s/95mcq48j8osfno1/receptor_ligand_interactions_mitab_v1.0_April2017.txt.zip?dl=0,https://www.dropbox.com/s/w5t0qgxo8soszd4/LRdb.rda?dl=1,ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/homologene.data","31-Mar-2021","Anopheles gambiae str. PEST",180454,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v001/LRBase.Aga.PEST.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Aga.PEST.eg.db:Anopheles gambiae str. PEST:Anopheline:v001"
"LRBaseDb for Ailuropoda melanoleuca (Panda, v001)","Correspondence table between Ligand Gene ID and Receptor ID for Ailuropoda melanoleuca (Panda)","3.13",NA,"CSV","http://fantom.gsc.riken.jp/5/suppl/Ramilowski_et_al_2015/data/PairsLigRec.txt,https://www.dropbox.com/s/dvvgudbgbhrlkud/ncomms8866-s3.xlsx?dl=1,https://www.dropbox.com/s/f2g65zrhrf99ljb/dlrp.txt?dl=1
mv dlrp.txt?dl=1 data/dlrp/dlrp.txt,http://www.guidetopharmacology.org/DATA/interactions.csv,http://hprd.org/edownload/HPRD_Release9_041310,https://stringdb-static.org/download/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz,http://www.ensembl.org/biomart,http://plants.ensembl.org/biomart,https://www.dropbox.com/s/66fw400bmoab89a/interactions_cellphonedb.csv?dl=1,https://www.dropbox.com/s/0l7oykri87wpr0x/heterodimers.csv?dl=1, https://www.dropbox.com/s/95mcq48j8osfno1/receptor_ligand_interactions_mitab_v1.0_April2017.txt.zip?dl=0,https://www.dropbox.com/s/w5t0qgxo8soszd4/LRdb.rda?dl=1,ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/homologene.data","31-Mar-2021","Ailuropoda melanoleuca",9646,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v001/LRBase.Ame.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ame.eg.db:Ailuropoda melanoleuca:Panda:v001"
"LRBaseDb for Apis mellifera (Honey bee, v001)","Correspondence table between Ligand Gene ID and Receptor ID for Apis mellifera (Honey bee)","3.13",NA,"CSV","http://fantom.gsc.riken.jp/5/suppl/Ramilowski_et_al_2015/data/PairsLigRec.txt,https://www.dropbox.com/s/dvvgudbgbhrlkud/ncomms8866-s3.xlsx?dl=1,https://www.dropbox.com/s/f2g65zrhrf99ljb/dlrp.txt?dl=1
mv dlrp.txt?dl=1 data/dlrp/dlrp.txt,http://www.guidetopharmacology.org/DATA/interactions.csv,http://hprd.org/edownload/HPRD_Release9_041310,https://stringdb-static.org/download/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz,http://www.ensembl.org/biomart,http://plants.ensembl.org/biomart,https://www.dropbox.com/s/66fw400bmoab89a/interactions_cellphonedb.csv?dl=1,https://www.dropbox.com/s/0l7oykri87wpr0x/heterodimers.csv?dl=1, https://www.dropbox.com/s/95mcq48j8osfno1/receptor_ligand_interactions_mitab_v1.0_April2017.txt.zip?dl=0,https://www.dropbox.com/s/w5t0qgxo8soszd4/LRdb.rda?dl=1,ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/homologene.data","31-Mar-2021","Apis mellifera",7460,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v001/LRBase.Aml.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Aml.eg.db:Apis mellifera:Honey bee:v001"
"LRBaseDb for Astyanax mexicanus (Mexican tetra, v001)","Correspondence table between Ligand Gene ID and Receptor ID for Astyanax mexicanus (Mexican tetra)","3.13",NA,"CSV","http://fantom.gsc.riken.jp/5/suppl/Ramilowski_et_al_2015/data/PairsLigRec.txt,https://www.dropbox.com/s/dvvgudbgbhrlkud/ncomms8866-s3.xlsx?dl=1,https://www.dropbox.com/s/f2g65zrhrf99ljb/dlrp.txt?dl=1
mv dlrp.txt?dl=1 data/dlrp/dlrp.txt,http://www.guidetopharmacology.org/DATA/interactions.csv,http://hprd.org/edownload/HPRD_Release9_041310,https://stringdb-static.org/download/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz,http://www.ensembl.org/biomart,http://plants.ensembl.org/biomart,https://www.dropbox.com/s/66fw400bmoab89a/interactions_cellphonedb.csv?dl=1,https://www.dropbox.com/s/0l7oykri87wpr0x/heterodimers.csv?dl=1, https://www.dropbox.com/s/95mcq48j8osfno1/receptor_ligand_interactions_mitab_v1.0_April2017.txt.zip?dl=0,https://www.dropbox.com/s/w5t0qgxo8soszd4/LRdb.rda?dl=1,ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/homologene.data","31-Mar-2021","Astyanax mexicanus",7994,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v001/LRBase.Amx.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Amx.eg.db:Astyanax mexicanus:Mexican tetra:v001"
"LRBaseDb for Aotus nancymaae (Ma's night monkey, v001)","Correspondence table between Ligand Gene ID and Receptor ID for Aotus nancymaae (Ma's night monkey)","3.13",NA,"CSV","http://fantom.gsc.riken.jp/5/suppl/Ramilowski_et_al_2015/data/PairsLigRec.txt,https://www.dropbox.com/s/dvvgudbgbhrlkud/ncomms8866-s3.xlsx?dl=1,https://www.dropbox.com/s/f2g65zrhrf99ljb/dlrp.txt?dl=1
mv dlrp.txt?dl=1 data/dlrp/dlrp.txt,http://www.guidetopharmacology.org/DATA/interactions.csv,http://hprd.org/edownload/HPRD_Release9_041310,https://stringdb-static.org/download/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz,http://www.ensembl.org/biomart,http://plants.ensembl.org/biomart,https://www.dropbox.com/s/66fw400bmoab89a/interactions_cellphonedb.csv?dl=1,https://www.dropbox.com/s/0l7oykri87wpr0x/heterodimers.csv?dl=1, https://www.dropbox.com/s/95mcq48j8osfno1/receptor_ligand_interactions_mitab_v1.0_April2017.txt.zip?dl=0,https://www.dropbox.com/s/w5t0qgxo8soszd4/LRdb.rda?dl=1,ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/homologene.data","31-Mar-2021","Aotus nancymaae",37293,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v001/LRBase.Ann.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ann.eg.db:Aotus nancymaae:Ma's night monkey:v001"
"LRBaseDb for Anabas testudineus (Climbing perch, v001)","Correspondence table between Ligand Gene ID and Receptor ID for Anabas testudineus (Climbing perch)","3.13",NA,"CSV","http://fantom.gsc.riken.jp/5/suppl/Ramilowski_et_al_2015/data/PairsLigRec.txt,https://www.dropbox.com/s/dvvgudbgbhrlkud/ncomms8866-s3.xlsx?dl=1,https://www.dropbox.com/s/f2g65zrhrf99ljb/dlrp.txt?dl=1
mv dlrp.txt?dl=1 data/dlrp/dlrp.txt,http://www.guidetopharmacology.org/DATA/interactions.csv,http://hprd.org/edownload/HPRD_Release9_041310,https://stringdb-static.org/download/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz,http://www.ensembl.org/biomart,http://plants.ensembl.org/biomart,https://www.dropbox.com/s/66fw400bmoab89a/interactions_cellphonedb.csv?dl=1,https://www.dropbox.com/s/0l7oykri87wpr0x/heterodimers.csv?dl=1, https://www.dropbox.com/s/95mcq48j8osfno1/receptor_ligand_interactions_mitab_v1.0_April2017.txt.zip?dl=0,https://www.dropbox.com/s/w5t0qgxo8soszd4/LRdb.rda?dl=1,ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/homologene.data","31-Mar-2021","Anabas testudineus",64144,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v001/LRBase.Ate.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ate.eg.db:Anabas testudineus:Climbing perch:v001"
"LRBaseDb for Arabidopsis thaliana (Thale cress, v001)","Correspondence table between Ligand Gene ID and Receptor ID for Arabidopsis thaliana (Thale cress)","3.13",NA,"CSV","http://fantom.gsc.riken.jp/5/suppl/Ramilowski_et_al_2015/data/PairsLigRec.txt,https://www.dropbox.com/s/dvvgudbgbhrlkud/ncomms8866-s3.xlsx?dl=1,https://www.dropbox.com/s/f2g65zrhrf99ljb/dlrp.txt?dl=1
mv dlrp.txt?dl=1 data/dlrp/dlrp.txt,http://www.guidetopharmacology.org/DATA/interactions.csv,http://hprd.org/edownload/HPRD_Release9_041310,https://stringdb-static.org/download/,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_sprot.dat.gz,ftp://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/complete/uniprot_trembl.dat.gz,http://www.ensembl.org/biomart,http://plants.ensembl.org/biomart,https://www.dropbox.com/s/66fw400bmoab89a/interactions_cellphonedb.csv?dl=1,https://www.dropbox.com/s/0l7oykri87wpr0x/heterodimers.csv?dl=1, https://www.dropbox.com/s/95mcq48j8osfno1/receptor_ligand_interactions_mitab_v1.0_April2017.txt.zip?dl=0,https://www.dropbox.com/s/w5t0qgxo8soszd4/LRdb.rda?dl=1,ftp://ftp.ncbi.nih.gov/pub/HomoloGene/current/homologene.data","31-Mar-2021","Arabidopsis thaliana",3702,NA,"FANTOM5,DLRP,IUPHAR,HPRD,STRING,SWISSPROT,TREMBL,ENSEMBL,CELLPHONEDB,BADERLAB,SINGLECELLSIGNALR,HOMOLOGENE","Koki Tsuyuzaki <k.t.the-answer@hotmail.co.jp>","SQLiteFile","FilePath","AHLRBaseDbs/v001/LRBase.Ath.eg.db.sqlite","LRBaseDb:LRBase:NCBI:Gene:NCBI Gene:FANTOM5:DLRP:IUPHAR:HPRD:STRING:UNIPROTKB:SWISSPROT:TREMBL:ENSEMBL:CELLPHONEDB:BADERLAB:SINGLECELLSIGNALR:BIOMART:HOMOLOGENE:Annotation:LRBase.Ath.eg.db:Arabidopsis thaliana:Thale cress:v001"
