10047_GENEID,9606_GENEID
110539827,7105
110539829,64102
110549437,8813
110549927,57147
110549926,55732
110552538,2268
110560342,2519
110552278,2729
110548738,4800
110545420,90529
110545415,57185
110552105,22875
110564807,6405
110564980,1080
110564982,1080
110564878,54467
110564880,54467
110562984,1595
110562985,1595
110562982,889
110562983,889
110546051,5893
110551603,572
110561031,51056
110558382,9957
110551298,26
110551277,26
110551279,26
110559723,51384
110559463,23072
110557522,8379
110554275,3927
110551426,29916
110551296,55365
110556292,4074
110541239,90293
110565603,56603
110565602,56603
110551573,3382
110545206,79007
110557655,57679
110557663,8837
110551966,7035
110564191,55471
110564192,55471
110547078,55471
110564840,10181
110565614,9108
110540319,6542
110548909,381
110550156,23098
110550124,26073
110550809,23129
110548693,204
110559148,952
110563592,2288
110563598,2288
110545399,23028
110564853,10180
110559274,84254
110562164,5965
110562172,5965
110563226,55610
110550965,126393
110550912,115703
110550637,4706
110559643,5166
110549519,85413
110564509,51364
110560907,340273
110566822,170302
110549275,10165
110541113,7982
110545634,996
110551908,6521
110563225,799
110541444,3052
110555096,1856
110553047,64063
110549166,5976
110546156,8935
110566446,292
110553232,55013
110546158,3207
110557245,5439
110564062,56919
110551880,4222
110558457,221981
110551832,3980
110546174,79657
110547853,6296
110559521,57019
110555599,56928
110547130,80256
110551424,51226
110566776,5577
110542860,10943
110545943,1387
110566143,9256
110566146,4353
110559638,5444
110563209,6936
110559333,84058
110559337,84058
110555237,54677
110555239,5244
110552814,55904
110555870,57414
110548663,30812
110559928,25998
110550933,23077
110550926,26224
110548001,3683
110551207,5164
110551197,3675
110541654,3920
110551893,3674
110559641,51666
110555529,51573
110549160,55049
110549148,9244
110551411,114881
110549609,26022
110555124,51087
110542376,3883
110545661,9020
110550473,6833
110559567,10368
110548063,54972
110555673,163
110554783,6863
110545953,10127
110559526,6376
110552067,64847
110552065,8913
110549280,1750
110558804,4293
110545330,5898
110555645,55971
110545785,80853
110554636,2115
110564074,55750
110547135,221
110547608,55001
110565194,57157
110545730,9855
110550467,10083
110555071,79017
110539810,10926
110548537,6915
110566974,3475
110550155,56891
110556789,1352
110554198,9569
110564729,54623
110561674,27072
110561673,27072
110564566,9912
110564567,60528
110566975,85477
110556680,79602
110549640,51265
110549544,151531
110545994,10942
110551514,57787
110559153,8842
110549217,115098
110552641,90273
110551475,5048
110550157,4843
110552224,1770
110550143,9703
110550130,9058
110560191,8522
110559416,8522
110551521,79090
110548519,4145
110547059,974
110547041,6329
110547001,54879
110559091,5080
110548661,113000
110561270,64285
110564620,9254
110548705,8938
110548706,115939
110548699,9091
110548676,57585
110544013,7005
110549934,6401
110552724,55735
110565308,2328
110556603,29116
110545385,1870
110561128,5689
110565592,3720
110565593,3720
110559814,57172
110559987,728642
110559948,65220
110555223,7021
110555224,83741
110555043,9940
110557410,9265
110545183,53616
110547058,1534
110552057,9043
110565504,1951
110560725,10157
110548568,55200
110554655,51188
110546230,84954
110558924,4257
110561963,1407
110551490,8993
110545832,4784
110563938,6482
110545952,64386
110549683,23542
110558501,9862
110557079,23221
110557080,23221
110545693,7095
110562499,6224
110558449,7812
110564745,9690
110564746,9690
110560993,5980
110560994,5980
110545252,5081
110548141,10747
110552550,199870
110553503,80342
110558316,29954
110565854,51534
110564348,51085
110564345,9031
110544321,10048
110555314,83932
