GENEID_10181,GENEID_9606
101721505,7105
101721859,64102
101723294,8813
101705003,57147
101706966,55732
101704214,2268
101723569,2519
101718793,2729
101717746,4800
101722553,90529
101722890,57185
101713131,81887
101721340,22875
101725304,6405
101722631,54467
101724157,1595
101725749,889
101726042,572
101712957,51056
101698728,9957
101712557,26
101710484,51384
101701199,23072
101711604,8379
101717600,3927
101707652,29916
101714688,55365
101704683,4074
101721137,90293
101714280,56603
101709102,3382
101724859,79007
101698373,57679
101713835,8837
101710461,7035
101697184,55471
101723983,10181
101699227,9108
101698641,6542
101725842,381
101706303,23098
101704391,26073
101700416,23129
101697619,204
101720283,952
101711168,2288
101706376,23028
101723619,10180
101723518,84254
101701240,5965
101718978,55610
101701779,126393
101702960,115703
101719526,4706
101698433,5166
101707239,51364
101700249,10165
101724284,7982
101717421,996
101719082,6521
101719329,799
101700661,3052
101710629,1856
101711135,64063
101704366,5976
101713038,8935
101697130,292
101706115,55013
101706429,3207
101721550,5439
101698411,56919
101703083,4222
101704786,221981
101701011,3980
101715669,79657
101703873,6296
101702686,81691
101696835,57019
101708060,56928
101716169,80256
101703086,51226
101706694,5577
101698996,10943
101714025,1387
101708205,9256
101707361,4353
101696947,5444
101718296,6936
101701340,84058
101716437,54677
101717251,5244
101712321,55904
101711974,57414
101711198,30812
101721776,25998
101712951,23077
101713565,26224
101723643,3683
101699994,5164
101699399,3675
101710608,3920
101714332,3674
101698059,51666
101701542,51573
101700794,55049
101701148,9244
101696930,114881
101726270,26022
101713877,51087
101710019,3883
101703313,9020
101705546,6833
101723508,10368
101720815,54972
101709272,163
101703449,6863
101703566,10127
101698061,6376
101707160,64847
101709921,8913
101701087,1750
101696673,4293
101706563,5898
101719088,55971
101699351,80853
101714796,2115
101705295,55750
101722793,221
101704343,55001
101699054,57157
101716035,9855
101707224,10083
101723887,79017
101706943,10926
101698956,6915
101719793,3475
101699033,56891
101726271,1352
101724499,9569
101698302,54623
101708027,27072
101721366,9912
101723360,60528
101718855,85477
101710316,414
101719226,8228
101697541,8735
101726203,79602
101709997,151531
101714355,10942
101726420,57787
101718099,8842
101717207,115098
101708102,90273
101709906,5048
101699617,4843
101705214,1770
101711720,9703
101707636,9058
101726568,8522
101718779,4145
101712603,974
101713228,6329
101703390,54879
101712507,5080
101708919,113000
101707862,64285
101703753,55692
101710707,9254
101717105,8938
101716750,115939
101725434,9091
101714656,57585
101707810,7005
101704316,6401
101699176,55735
101711325,2328
101712362,29116
101718925,27035
101711793,1870
101701261,5689
101722592,6853
101714621,3720
101712589,6792
101718073,57172
101703699,65220
101722192,7021
101723588,83741
101702670,9940
101709092,9265
101704879,53616
101709328,6856
101699814,1534
101721304,9043
101720569,1951
101707268,10157
101698614,55200
101716649,51188
101701351,84954
101713569,4257
101719696,1407
101700638,8993
101722219,4784
101720225,6482
101698825,64386
101717562,5310
101712713,23542
101697186,9862
101696728,23221
101723059,54497
101722582,7095
101696394,6224
101717101,7812
101704820,7812
101717256,9690
101723274,5980
101717816,10178
101696741,5081
101696699,10747
101721889,389434
101705660,199870
101717726,80342
101706534,29954
101696966,51534
101703432,51085
101708143,9031
101713450,10048
101710243,83932
101701287,51603
101722555,7756
101719627,7384
101712441,83930
101698230,928
101714074,57467
101702538,9918
101705390,25900
101719356,2696
101703563,51533
101702993,56920
101701602,11188
101700148,23166
101716481,80199
101710577,3423
101701235,7752
101716842,920
101722312,10233
101715242,695
101705145,3077
101715938,22955
101721279,2534
101726125,3097
101709396,2326
101713591,6924
101714284,11313
101718768,1185
101698734,9902
101721872,6534
101716609,10867
101702948,55727
101703227,9546
101706375,54903
101708455,51099
101720284,3730
101724090,26993
101725217,54799
101724606,51096
101715043,54476
101708781,54902
101715554,5725
101701672,8193
101702929,9066
101699853,23395
101702206,5286
101705929,5329
101719442,54443
101724446,58525
101724658,23637
101724658,2844
101714606,1634
101706611,54814
101696971,5536
101712973,23177
101709571,8491
101707522,7305
101705325,57146
101714519,2556
101705460,672
101699727,2067
101697416,933
101699010,7869
101726620,51360
101720793,4007
101722340,4057
101697847,2137
101714263,9971
101717423,60481
101700210,240
101705553,57658
101702354,55148
101697393,11183
101707648,30845
101717896,5704
101712594,23324
101726545,57709
101725821,5010
101718506,51629
101716080,9961
101702480,51667
101717718,5238
101716785,112611
101721135,1195
101724870,55703
101709904,23357
101714536,9604
101703404,1774
101721808,1663
101726619,50865
101697227,9052
101696770,10046
101709183,923
101716366,10460
101721913,23376
101725812,23649
101724950,23144
101696511,823
101711436,55
101719728,4190
101697856,10463
101713140,10903
101715399,1355
101711088,440193
101721152,10138
101715955,10771
101704700,7454
101702619,1800
101710493,637
101717725,9782
101718169,29881
101703898,64132
101712846,81551
101717815,23386
101704803,3670
101716121,55349
101699117,53832
101708961,1179
101706570,22802
101707297,22802
101699179,55830
101707859,27032
101707684,3479
101699470,92745
101711056,10928
101718698,22902
101718711,1272
101707446,6556
101722908,25937
101699622,8540
101697502,63932
101721770,477
101714933,55622
101717523,147948
101720579,23584
101717916,23187
101708814,8685
101716773,1591
101710699,56981
101710338,57586
101723625,972
101707056,3082
101723409,54764
101711178,23154
101713154,25960
101719653,55734
101707256,23034
101726268,864
101709211,4361
101717048,58473
101700536,1992
101699762,64816
101700489,64816
101720016,11136
101710272,6683
101698786,9369
101700563,114879
101724261,9716
101696508,1373
101696501,732
101702039,2273
101710499,51507
101719179,2554
101708356,57210
101726241,9921
101705132,9921
101719190,64429
101703845,57476
101716393,6050
101698993,4719
101721047,9821
101696553,9821
101711387,23071
101701151,211
101719143,330
101697069,11215
101697695,51022
101716427,6617
101714484,51071
101714838,11171
101716089,1244
101722761,50619
101715008,51177
101703324,2730
101703005,23304
101707337,30846
101723670,55635
101703118,25901
101722835,58528
101699287,8630
101709627,10062
101726492,1890
101699187,29781
101704036,10953
101701880,11231
101709271,23633
101718964,7431
101704746,355
101708129,8635
