ensembl_gene_id,entrezgene_id
ENSG00000210049,NA
ENSG00000211459,NA
ENSG00000210077,NA
ENSG00000210082,NA
ENSG00000209082,NA
ENSG00000198888,4535
ENSG00000210100,NA
ENSG00000210107,NA
ENSG00000210112,NA
ENSG00000198763,4536
ENSG00000210117,NA
ENSG00000210127,NA
ENSG00000210135,NA
ENSG00000210140,NA
ENSG00000210144,NA
ENSG00000198804,4512
ENSG00000210151,NA
ENSG00000210154,NA
ENSG00000198712,4513
ENSG00000210156,NA
ENSG00000228253,4509
ENSG00000198899,4508
ENSG00000198938,4514
ENSG00000210164,NA
ENSG00000198840,4537
ENSG00000210174,NA
ENSG00000212907,4539
ENSG00000198886,4538
ENSG00000210176,NA
ENSG00000210184,NA
ENSG00000210191,NA
ENSG00000198786,4540
ENSG00000198695,4541
ENSG00000210194,NA
ENSG00000198727,4519
ENSG00000210195,NA
ENSG00000210196,NA
ENSG00000283061,NA
ENSG00000229107,NA
ENSG00000211789,NA
ENSG00000279919,NA
ENSG00000145220,55646
ENSG00000227264,NA
ENSG00000205858,100506049
ENSG00000273753,NA
ENSG00000225542,NA
ENSG00000282572,NA
ENSG00000234541,NA
ENSG00000151789,79750
ENSG00000237445,NA
ENSG00000211790,NA
ENSG00000273644,NA
ENSG00000227679,NA
ENSG00000250039,NA
ENSG00000217261,NA
ENSG00000233832,NA
ENSG00000235062,NA
ENSG00000232325,NA
ENSG00000242611,NA
ENSG00000229485,NA
ENSG00000272537,NA
ENSG00000287883,NA
ENSG00000154813,285381
ENSG00000230891,NA
ENSG00000171243,25928
ENSG00000250752,NA
ENSG00000260370,NA
ENSG00000242474,NA
ENSG00000164822,1671
ENSG00000237592,NA
ENSG00000101220,54976
ENSG00000271650,NA
ENSG00000254625,NA
ENSG00000223351,NA
ENSG00000237297,NA
ENSG00000240859,NA
ENSG00000164821,1669
ENSG00000261795,NA
ENSG00000110169,3263
ENSG00000178591,245938
ENSG00000276194,6928
ENSG00000132967,NA
ENSG00000239715,NA
ENSG00000234723,NA
ENSG00000271235,NA
ENSG00000100109,24144
ENSG00000177706,56975
ENSG00000110811,10536
ENSG00000226287,NA
ENSG00000092330,26277
ENSG00000249852,NA
ENSG00000240093,NA
ENSG00000261456,347688
ENSG00000274167,NA
ENSG00000125788,81623
ENSG00000088782,140850
ENSG00000185982,245939
ENSG00000232420,NA
ENSG00000125903,140881
ENSG00000157796,57728
ENSG00000127418,53834
ENSG00000186458,400830
ENSG00000272874,NA
ENSG00000226183,NA
ENSG00000231915,NA
ENSG00000100104,402055
ENSG00000215016,NA
ENSG00000275083,3812
ENSG00000233153,NA
ENSG00000250510,27239
ENSG00000256379,NA
ENSG00000211791,NA
ENSG00000185049,7469
ENSG00000211792,NA
ENSG00000211793,NA
ENSG00000282043,NA
ENSG00000282805,NA
ENSG00000276072,26574
ENSG00000223561,NA
ENSG00000236638,NA
ENSG00000267414,NA
ENSG00000234878,NA
ENSG00000185037,NA
ENSG00000248767,116033993
ENSG00000287342,NA
ENSG00000249574,NA
ENSG00000287096,NA
ENSG00000187634,148398
ENSG00000148719,54788
ENSG00000239622,NA
ENSG00000286710,NA
ENSG00000227923,NA
ENSG00000230000,NA
ENSG00000286764,NA
ENSG00000214695,NA
ENSG00000257402,NA
ENSG00000110700,6207
ENSG00000132465,3512
ENSG00000101193,54994
ENSG00000232165,NA
ENSG00000227545,NA
ENSG00000006611,10083
ENSG00000282166,NA
ENSG00000196476,140680
ENSG00000227298,NA
ENSG00000158856,2039
ENSG00000044012,2981
ENSG00000282636,NA
ENSG00000226587,NA
ENSG00000250259,NA
ENSG00000229301,NA
ENSG00000226913,NA
ENSG00000233293,NA
ENSG00000228156,NA
ENSG00000101222,25876
ENSG00000258036,NA
ENSG00000204393,NA
ENSG00000257616,NA
ENSG00000134318,9475
ENSG00000284677,NA
ENSG00000277301,NA
ENSG00000257343,NA
ENSG00000286311,NA
ENSG00000271113,NA
ENSG00000234158,NA
ENSG00000254557,NA
ENSG00000236772,NA
ENSG00000257675,NA
ENSG00000125872,164312
ENSG00000137571,81796
ENSG00000228755,NA
ENSG00000197273,2980
ENSG00000197183,140688
ENSG00000164061,8927
ENSG00000237603,NA
ENSG00000278192,NA
ENSG00000236936,NA
ENSG00000286848,NA
ENSG00000257125,NA
ENSG00000215146,NA
ENSG00000125817,1059
ENSG00000204437,NA
ENSG00000132464,10117
ENSG00000117298,1889
ENSG00000177685,283229
ENSG00000230465,NA
ENSG00000258071,NA
ENSG00000065328,55388
ENSG00000185069,51350
ENSG00000267675,NA
ENSG00000235120,NA
ENSG00000237767,NA
ENSG00000179796,116135
ENSG00000187801,65243
ENSG00000286038,NA
ENSG00000214584,NA
ENSG00000257404,NA
ENSG00000276840,NA
ENSG00000283246,NA
ENSG00000267391,NA
ENSG00000255151,100287520
ENSG00000231156,NA
ENSG00000286728,NA
ENSG00000283913,NA
ENSG00000286519,NA
ENSG00000231054,NA
ENSG00000244274,55861
ENSG00000275351,3809
ENSG00000170340,10678
ENSG00000274570,NA
ENSG00000205054,NA
ENSG00000230922,NA
ENSG00000273372,NA
ENSG00000174384,NA
ENSG00000276084,115653
ENSG00000280259,NA
ENSG00000242600,NA
ENSG00000056487,112885
ENSG00000225386,NA
ENSG00000270335,NA
ENSG00000228541,NA
ENSG00000283101,NA
ENSG00000133661,6441
ENSG00000174799,9662
ENSG00000147874,54801
ENSG00000231393,NA
ENSG00000227933,NA
ENSG00000107140,7016
ENSG00000100664,1983
ENSG00000279319,NA
ENSG00000222030,NA
ENSG00000280612,NA
ENSG00000223839,NA
ENSG00000152217,26040
ENSG00000281853,NA
ENSG00000116731,7799
ENSG00000231043,NA
ENSG00000286604,NA
ENSG00000281502,NA
ENSG00000177666,57104
ENSG00000285673,NA
ENSG00000280941,NA
ENSG00000271955,NA
ENSG00000281471,NA
ENSG00000233891,NA
ENSG00000273993,5796
ENSG00000235472,NA
ENSG00000246528,NA
ENSG00000240240,NA
ENSG00000235924,NA
ENSG00000279201,NA
ENSG00000279070,NA
ENSG00000182022,51363
ENSG00000165480,221150
ENSG00000148053,4915
ENSG00000278606,3805
ENSG00000155561,23165
ENSG00000163794,7349
ENSG00000231390,NA
ENSG00000183148,441430
ENSG00000261305,NA
ENSG00000138100,57159
ENSG00000106526,653857
ENSG00000280365,NA
ENSG00000270447,NA
ENSG00000231815,NA
ENSG00000011009,11313
ENSG00000271159,NA
ENSG00000104611,63898
ENSG00000285611,NA
ENSG00000233723,NA
ENSG00000158528,55607
ENSG00000106538,5919
ENSG00000137101,971
ENSG00000275885,26121
ENSG00000230154,NA
ENSG00000255289,NA
ENSG00000069424,8514
ENSG00000186442,3850
ENSG00000234812,NA
ENSG00000145287,51316
ENSG00000277833,3802
ENSG00000259031,NA
ENSG00000183092,57596
ENSG00000173141,78988
ENSG00000066336,6688
ENSG00000170477,3851
ENSG00000188707,113763
ENSG00000255108,NA
ENSG00000127399,65999
ENSG00000258482,NA
ENSG00000258557,NA
ENSG00000211794,NA
ENSG00000211795,NA
ENSG00000211796,NA
ENSG00000235868,NA
ENSG00000211797,NA
ENSG00000256331,NA
ENSG00000211798,NA
ENSG00000211799,NA
ENSG00000095209,55151
ENSG00000258705,NA
ENSG00000173914,83759
ENSG00000277310,NA
ENSG00000172361,220136
ENSG00000211800,NA
ENSG00000211801,NA
ENSG00000276428,NA
ENSG00000286725,NA
ENSG00000229687,NA
ENSG00000211802,NA
ENSG00000260920,NA
ENSG00000229466,NA
ENSG00000270933,NA
ENSG00000279667,NA
ENSG00000211803,NA
ENSG00000287732,NA
ENSG00000286609,NA
ENSG00000274402,3804
ENSG00000124251,27296
ENSG00000229775,NA
ENSG00000227527,NA
ENSG00000223730,NA
ENSG00000198815,22887
ENSG00000253777,NA
ENSG00000253341,NA
ENSG00000235316,NA
ENSG00000254349,NA
ENSG00000279239,NA
ENSG00000275486,3811
ENSG00000215002,NA
ENSG00000182632,NA
ENSG00000250959,NA
ENSG00000228366,NA
ENSG00000286137,NA
ENSG00000232486,NA
ENSG00000232880,NA
ENSG00000224940,401399
ENSG00000273598,NA
ENSG00000254806,NA
ENSG00000224280,NA
ENSG00000239306,10432
ENSG00000272361,NA
ENSG00000114023,26355
ENSG00000255977,NA
ENSG00000103269,9028
ENSG00000284327,NA
ENSG00000126705,27245
ENSG00000173013,257236
ENSG00000245748,NA
ENSG00000254080,NA
ENSG00000284591,NA
ENSG00000173011,93624
ENSG00000284522,NA
ENSG00000137558,51050
ENSG00000185904,NA
ENSG00000087589,57091
ENSG00000187904,NA
ENSG00000273693,NA
ENSG00000248530,NA
ENSG00000271365,NA
ENSG00000132405,57533
ENSG00000248643,100526737
ENSG00000271309,NA
ENSG00000285142,NA
ENSG00000248370,NA
ENSG00000183513,493753
ENSG00000270570,NA
ENSG00000277640,NA
ENSG00000204070,90196
ENSG00000234420,NA
ENSG00000274231,NA
ENSG00000223404,NA
ENSG00000279858,NA
ENSG00000242169,NA
ENSG00000248880,NA
ENSG00000276403,NA
ENSG00000273455,NA
ENSG00000233415,NA
ENSG00000173933,5936
ENSG00000073711,5523
ENSG00000223410,NA
ENSG00000274502,NA
ENSG00000278212,NA
ENSG00000269893,NA
ENSG00000204103,9935
ENSG00000111701,339
ENSG00000274162,NA
ENSG00000272046,NA
ENSG00000253706,NA
ENSG00000232204,NA
ENSG00000231019,NA
ENSG00000225289,NA
ENSG00000103199,26048
ENSG00000228601,NA
ENSG00000196981,54554
ENSG00000258567,NA
ENSG00000238287,NA
ENSG00000226961,NA
ENSG00000134243,6272
ENSG00000187815,339559
ENSG00000230952,NA
ENSG00000231403,NA
ENSG00000248401,NA
ENSG00000250677,NA
ENSG00000164099,8492
ENSG00000162585,199990
ENSG00000250057,NA
ENSG00000224177,NA
ENSG00000273800,NA
ENSG00000107625,79009
ENSG00000169933,9758
ENSG00000248180,NA
ENSG00000137478,9873
ENSG00000145332,57563
ENSG00000171316,55636
ENSG00000275448,NA
ENSG00000272037,NA
ENSG00000275255,NA
ENSG00000246263,NA
ENSG00000286800,NA
ENSG00000263863,NA
ENSG00000274476,NA
ENSG00000196305,3376
ENSG00000264131,NA
ENSG00000168096,124401
ENSG00000264232,NA
ENSG00000234471,NA
ENSG00000265217,NA
ENSG00000104517,51366
ENSG00000110171,10612
ENSG00000172888,285268
ENSG00000277114,4849
ENSG00000189057,374393
ENSG00000058799,54432
ENSG00000286014,NA
ENSG00000231211,NA
ENSG00000223487,NA
ENSG00000285811,NA
ENSG00000259154,NA
ENSG00000100147,79879
ENSG00000287187,NA
ENSG00000274041,NA
ENSG00000178809,375593
ENSG00000166801,63901
ENSG00000276061,4696
ENSG00000254432,NA
ENSG00000224546,NA
ENSG00000285569,NA
ENSG00000235200,NA
ENSG00000257660,NA
ENSG00000232668,NA
ENSG00000228033,NA
ENSG00000255526,100528064
ENSG00000271547,NA
ENSG00000287975,NA
ENSG00000277808,79165
ENSG00000232604,NA
ENSG00000271377,NA
ENSG00000260626,NA
ENSG00000249142,NA
ENSG00000229867,NA
ENSG00000238139,NA
ENSG00000134201,2949
ENSG00000115107,55240
ENSG00000253237,NA
ENSG00000213791,NA
ENSG00000244668,NA
ENSG00000253238,NA
ENSG00000173085,27235
ENSG00000163645,131831
ENSG00000247315,85364
ENSG00000242073,NA
ENSG00000234735,NA
ENSG00000104047,56986
ENSG00000182873,NA
ENSG00000205583,NA
ENSG00000286158,NA
ENSG00000091986,151887
ENSG00000100519,5706
ENSG00000231105,NA
ENSG00000257514,NA
ENSG00000147144,90060
ENSG00000241746,NA
ENSG00000236284,NA
ENSG00000067606,5590
ENSG00000258435,NA
ENSG00000146722,NA
ENSG00000139055,121506
ENSG00000089053,51433
ENSG00000185640,338785
ENSG00000177732,6666
ENSG00000287104,NA
ENSG00000255381,NA
ENSG00000139908,283629
ENSG00000118600,10329
ENSG00000272391,100101267
ENSG00000245571,NA
ENSG00000253695,NA
ENSG00000117682,79947
ENSG00000225377,NA
ENSG00000211804,NA
ENSG00000125841,80023
ENSG00000211805,NA
ENSG00000165953,145264
ENSG00000280294,NA
ENSG00000230361,NA
ENSG00000230600,NA
ENSG00000147642,55638
ENSG00000232817,NA
ENSG00000134202,2947
ENSG00000261296,NA
ENSG00000186009,496
ENSG00000196091,4604
ENSG00000225100,NA
ENSG00000260957,NA
ENSG00000257389,NA
ENSG00000234467,NA
ENSG00000224368,NA
ENSG00000229616,NA
ENSG00000227305,NA
ENSG00000227434,NA
ENSG00000224760,NA
ENSG00000237484,NA
ENSG00000236217,NA
ENSG00000227426,NA
ENSG00000214914,NA
ENSG00000223889,NA
ENSG00000227515,NA
ENSG00000229667,NA
ENSG00000234387,NA
ENSG00000234667,NA
ENSG00000234218,4277
ENSG00000206062,NA
ENSG00000048649,51773
ENSG00000279441,NA
ENSG00000268181,NA
ENSG00000270762,NA
ENSG00000260394,NA
ENSG00000233837,NA
ENSG00000089091,55184
ENSG00000287668,NA
ENSG00000234161,NA
ENSG00000236413,NA
ENSG00000189233,389643
ENSG00000174740,140886
ENSG00000205189,65986
ENSG00000237737,NA
ENSG00000254802,NA
ENSG00000278784,NA
ENSG00000287765,NA
ENSG00000285884,NA
ENSG00000213920,145553
ENSG00000277479,NA
ENSG00000255397,NA
ENSG00000272387,NA
ENSG00000272319,NA
ENSG00000254777,NA
ENSG00000275618,51283
ENSG00000232109,NA
ENSG00000233515,NA
ENSG00000215846,NA
ENSG00000196693,7582
ENSG00000148358,57720
ENSG00000240137,NA
ENSG00000224832,NA
ENSG00000278570,10002
ENSG00000225658,NA
ENSG00000204272,550643
ENSG00000234521,NA
ENSG00000286623,NA
ENSG00000159239,NA
ENSG00000065911,10797
ENSG00000263624,NA
ENSG00000230257,NA
ENSG00000264187,NA
ENSG00000128606,10234
ENSG00000227147,89870
ENSG00000225442,NA
ENSG00000224799,NA
ENSG00000169016,1876
ENSG00000255583,NA
ENSG00000133030,23164
ENSG00000257005,NA
ENSG00000184344,9573
ENSG00000286144,NA
ENSG00000249753,NA
ENSG00000204271,169981
ENSG00000197990,NA
ENSG00000240027,NA
ENSG00000100372,10478
ENSG00000177990,283417
ENSG00000223705,NA
ENSG00000286440,NA
ENSG00000168135,3761
ENSG00000234327,NA
ENSG00000228620,NA
ENSG00000241720,NA
ENSG00000230132,NA
ENSG00000276504,29844
ENSG00000167840,7775
ENSG00000241386,3112
ENSG00000198758,79574
ENSG00000111348,397
ENSG00000260669,NA
ENSG00000227267,NA
ENSG00000251867,NA
ENSG00000235995,NA
ENSG00000134186,55119
ENSG00000161040,222235
ENSG00000196497,79711
ENSG00000170423,196374
ENSG00000259847,NA
ENSG00000234593,NA
ENSG00000197461,5154
ENSG00000260364,NA
ENSG00000165702,8328
ENSG00000261742,NA
ENSG00000278416,NA
ENSG00000270808,NA
ENSG00000215720,NA
ENSG00000279088,NA
ENSG00000171729,55092
ENSG00000228666,NA
ENSG00000129204,9098
ENSG00000244349,NA
ENSG00000227214,NA
ENSG00000231153,NA
ENSG00000236197,NA
ENSG00000255107,NA
ENSG00000102921,9683
ENSG00000255409,NA
ENSG00000276934,NA
ENSG00000254985,NA
ENSG00000230275,NA
ENSG00000219529,NA
ENSG00000133313,55748
ENSG00000234632,NA
ENSG00000184068,NA
ENSG00000227376,NA
ENSG00000248642,NA
ENSG00000255185,NA
ENSG00000233155,NA
ENSG00000196227,63939
ENSG00000284308,388963
ENSG00000198911,6721
ENSG00000168090,10980
ENSG00000225914,NA
ENSG00000260834,NA
ENSG00000232048,NA
ENSG00000234751,NA
ENSG00000264324,NA
ENSG00000166831,348093
ENSG00000271250,NA
ENSG00000132376,51763
ENSG00000213201,NA
ENSG00000233405,NA
ENSG00000236885,NA
ENSG00000168010,89849
ENSG00000204296,10665
ENSG00000226232,NA
ENSG00000223855,NA
ENSG00000283047,NA
ENSG00000196696,NA
ENSG00000279973,NA
ENSG00000226444,NA
ENSG00000288262,NA
ENSG00000286406,NA
ENSG00000283023,NA
ENSG00000175147,NA
ENSG00000279400,NA
ENSG00000243609,NA
ENSG00000274441,NA
ENSG00000260033,NA
ENSG00000275289,NA
ENSG00000280341,NA
ENSG00000261267,NA
