GENEID_33169,GENEID_9606
4620424,38
4619033,158
4622979,210
4618923,212
4623193,383
4621040,435
4622994,1371
4621291,1376
4622338,1738
4622090,2071
4622911,2108
4623240,2235
4619541,2271
4621011,2632
4623304,2643
4620794,2821
4619821,2937
4623084,2956
4618920,3145
4619369,3978
4621576,4292
4622435,4436
4619732,4860
4622957,4864
4621188,4942
4619295,5373
4618485,5498
4622750,7389
4618822,642
4619967,788
4623082,2068
4622905,3295
4621404,4598
4622639,6647
4621394,353
4621888,5009
4619433,6609
4620419,6648
4623164,2936
4620764,178
4622915,18
4622053,191
4618632,1384
4622064,2618
4621378,2987
4618746,5162
4620331,5430
4622223,5431
4618441,5447
4618645,5479
4618468,5557
4619106,5558
4620464,6122
4618681,6124
4620081,6141
4622303,6152
4622304,6156
4621821,6173
4618889,6188
4619229,6193
4622397,6204
4620516,6217
4618617,6228
4619592,6232
4620181,6240
4620477,7298
4621066,7915
4620213,50
4620343,396
4620861,1111
4621842,1155
4622083,1434
4620394,1479
4620205,1615
4618759,1665
4619494,1723
4618808,1736
4621744,1798
4620002,1801
4621162,1802
4618526,1819
4621874,1967
4621281,2091
4621876,2729
4620251,2959
4620600,2966
4619908,2967
4620830,2972
4620624,16
4623155,204
4618968,262
4619446,382
4619227,506
4619851,526
4618447,539
4622845,908
4622843,978
4621901,989
4619948,1022
4619800,790
4620688,1491
4618497,1725
4622760,1743
4621788,1933
4620926,2224
4619623,2339
4619858,2617
4622019,2805
4619721,3035
4619874,3157
4623180,3308
4621954,3329
4619426,3508
4619337,3837
4622611,3843
4619536,3981
4619571,4085
4622171,4172
4619261,4331
4620247,4351
4622728,4597
4621719,4682
4620023,4799
4621993,4931
4621151,4953
4621192,4968
4619922,5111
4619878,5204
4619010,5236
4622124,5245
4618784,5277
4622853,5289
4619671,5356
4621586,5424
4620618,5428
4620119,5432
4621098,5434
4622221,5436
4621169,5510
4623104,5531
4621299,5598
4622624,5682
4619876,5683
4620661,5684
4622129,5685
4621366,5686
4622876,5687
4618714,143471
4622636,5689
4618708,5690
4619276,5691
4622068,5692
4618797,5694
4621049,5700
4619578,5701
4621321,5702
4622922,5705
4619496,5707
4619599,5708
4619222,5709
4618472,5713
4620232,5715
4620538,5717
4620318,5718
4620449,5719
4619760,5888
4622288,5906
4619060,5976
4619634,5981
4619928,5983
4619022,246243
4623093,6059
4621777,6117
4621686,6182
4619459,6390
4621447,6595
4621583,6675
4618669,6713
4618557,6729
4622018,6811
4620445,6829
4623102,6908
4622699,10139
4622160,3930
4619521,7150
4618514,7284
4621240,7322
4621277,7411
4620111,7514
4622482,7555
4622603,7874
4623037,8318
4622659,8480
4620555,8504
4621109,8518
4622964,8520
4622684,8564
4618730,8565
4621633,8576
4621107,8615
4618963,8661
4620659,8662
4622616,8663
4620447,8666
4620522,8668
4621032,8675
4619688,8678
4622352,8721
4619601,401548
4619213,8775
4620832,8803
4619702,8881
4619387,8882
4622871,8893
4621918,8905
4622868,8942
4621701,8943
4620210,9040
4619263,271
4622022,471
4622688,498
4619598,533
4621736,705
4622187,1175
4623289,1965
4618978,2237
4620633,4733
4620139,5576
4619580,6389
4619749,6470
4622803,6634
4620362,7453
4622913,9296
4620785,9319
4620924,9343
4621524,9373
4618907,9487
4622828,9512
4622625,22
4619734,617
4622757,54926
4620322,1314
4619638,1353
4619731,1656
4620648,2110
4619600,1803
4622342,2193
4622268,2222
4619121,2958
4619963,3422
4621982,4171
4622657,5188
4620772,5876
4620854,6341
4623245,6633
4619531,7879
4619265,8697
4618929,9104
4621211,9114
4620771,9128
4618731,9136
4621090,2107
4621659,9276
4621431,1213
4620276,9533
4623235,9554
4623337,9588
