9031_GENEID,9606_GENEID
418968,38
395246,90
396540,158
422558,175
421543,183
417273,210
772125,270
417431,350
395274,355
422165,367
c(417545, 396498),435
417609,443
101747741,538
395375,594
374139,675
423132,710
419574,717
431585,729
424669,732
423233,825
395485,959
395608,1134
421514,1130
427153,1161
427949,1180
428190,1188
396243,1278
427584,1294
420120,1311
771940,1356
418377,1371
424649,1376
396497,1471
418267,1476
423185,1643
417699,1738
429083,1806
768509,1908
408082,1910
771557,2022
419216,2038
421321,2052
424226,2071
415353,2108
374052,2153
374258,2158
422678,2169
415854,2175
427468,2176
415482,2184
374020,2235
420969,2271
395962,2492
421668,2519
423394,2581
417373,2584
431509,2592
427964,2632
771098,2639
425670,2642
396146,2643
408184,2690
395278,2697
378797,2705
420769,2737
374222,2731
422568,8001
415971,2815
415783,2821
395774,2934
428135,2937
421291,2956
395929,3030
421995,3032
418330,3081
419701,3145
396316,3155
373988,6910
429879,3257
422081,6448
422392,3423
427294,3425
428773,3426
395199,3561
396145,3630
771348,3651
417374,3691
396043,182
395845,3718
428101,3736
378783,3815
428314,3859
428268,3914
418945,6445
422760,6443
430516,3978
427495,3990
396219,4023
100858122,3757
396134,4233
416633,4261
420729,4292
378799,4436
422709,4547
396013,4607
419085,4647
424391,4653
396547,4668
395806,5727
418560,4693
396085,4763
769958,4860
421076,4864
421223,4867
418652,4935
426430,4942
422136,4952
408024,5053
418774,5095
395092,5158
415776,5184
417526,5193
421687,5191
418612,5256
415741,5257
416553,5310
421158,5317
426748,5320
419485,5351
427679,5373
374215,5449
418430,5627
423675,5728
396436,5741
420401,5745
374144,5805
420192,5828
418299,5830
426335,5860
386582,5925
395899,5961
772315,6247
420843,6310
771297,6329
416251,6444
415433,6557
415692,6559
374025,6606:6607
395393,6622
374148,6662
769410,6710
395421,6770
424490,24
429737,6948
395592,7054
101752029,7056
420830,7172
417166,7248
428900,7253
396277,7276
424256,7372
424590,7389
396025,7498
396535,338
395996,642
416062,788
418266,846
422266,1121
425576,1200
c(771315, 101750812),1439
425859,2132
419686,2582
100857973,2760
424321,2820
374216,2978
395785,3295
421685,3459
418306,3792
428888,4053
374224,5048
c(100857437, 768555),4598
424445,4688
427190,5019
769230,5122
395830,5445
374188,5664
423164,5896
424402,6401
428018,6555
395938,6647
420105,6794
419198,3172
427838,6928
427368,7010
424010,580
395491,7291
395285,190
396197,213
423041,272
395566,275
100857155,353
422331,546
396101,551
428197,713
396088,1415
395306,2147
396307,2243
395837,2266
374108,2488
395569,2668
427204,3074
428846,3767
396154,7436
428516,4158
100859605,4359
395735,5009
768706,5096
396214,5354
423980,5378
768877,6295
419077,6609
416967,6927
776120,7173
416552,7249
395937,7252
395913,7306
416117,7428
419031,7450
374249,8200
c(416652, 100858011),3040:3039
429111,731
771801,3568
428264,3586
395696,2638
427187,730
427727,6890
408027,3484
396315,3485
420790,3486
395337,3569
395941,3082
770691,733
395666,960
395097,3481
419076,3263
395362,920
418090,3479
428906,624
419940,974
421461,4052
395663,3588
395665,3454
418052,4689
396282,596
374042,6648
771783,2936
395935,7448
429064,356
422219,3598
420696:420695,729230
416642,18
396388,43
373956,140
422933,146
101751513,151
419146,191
423769,240
404271,301
396530,476
771773,552
772372,623
420776,644
418226,706
395895,776
768444,781
c(100859535, 417428),786
414884,885
396518,915
396062,916
421829,1081
386578,1136
395606,1137
374001,1139
395605,1141
417195,1384
404297,1392
419620,1441
395549,1621
422648,1633
420947,1644
395940,1733
373903,1734
770757,1814
396094,2246
374214,2554
422770,2557
396290,2562
395743,2571
395315,2618
418737,2621
420385,2692
427678,2903
417965,2904
431090,2905
421614,2911
418644,2913
427853,2918
422408,2983
428399,2987
100858928,3269
421858,3351
428247,3359
430019,3362
395817,3482
c(396481, 418716),3554
424191,3694
396028,4254
769737,1728
420886,4835
396464,4852
431663,4883
428727,4886
422405,4887
418185,5139
423064,5140
416066,5162
396198,5241
770292,5319
771655,5322
426791,5327
100857105,5345
422621,5431
422011,5443
417520,5447
396447,5479
768427,5480
426646,5557
421878,5558
396453,5617
395660,5618
418582,5638
374110,5730
100034745,5732
424548,5737
427752,5742
418016,6122
415551,6124
418401,6152
425416,6156
100859914,6173
419069,6188
419904,6204
417871,6217
427323,6228
419081,6240
396050,6337
395458,6530
404747,6532
396279,6750
771648,6751
768993,6870
100857635,6915
418325,7132
395083,7133
395570,7153
420025,7283
421060,7298
420086,7535
420818,7915
422677,8654
769880,14
395373,47
c(426864, 769176),49
374009,50
374213,93
374113,102
415732,113
395339,115
408251,116
420386,117
422881,10227
427237,123
418452,141
428579,159
100858542,166
425997,247
415697,267
427399,318
427246,320
374012,329
395280,331
423272,384
428883,394
769231,396
374115,406
426812,501
418488,571
419912,578
396056,631
395236,637
445340,639
378779,650
422581,651
374147,659
416207,662
770238,687
378922,701
417772,858
427328,902
100859215,904
395090,943
378930,944
395385,958
419960,996
420558,1021
429104,1031
374205,1045
418861,1102
374260,1111
423669,1147
425789,1153
419488,1185
422054,53405
395631,9079
425500,1207
420393,1238
768759,1258
396144,1261
420463,1316
417590,1362
395144,1364
374029,1365
769143,1369
426496,1389
419212,1434
419331,1477
421595,1479
422904,1487
428852,1500
422410,1519
419311,1522
418473,1525
427449,1601
395343,1603
424839,1608
424296,1615
416937,1652
422813,1665
422982,1717
415876,1723
395939,1735
422196,1736
419024,1740
420921,1767
100858112,1769
424540,58511
423461,1778
419699,1798
417564,1801
424574,1802
416513,1819
415953,1842
395642,1846
395459,1889
100858352,1891
424462,1901
427339,1902
395831,1943
100857736,1967
417964,2012
416636,2013
418000,2033
395596,2034
408036,2069
395575,2100
424465,2135
422022,2137
374015,2168
416154,2172
416266,2196
395624,2294
100857760,2295
770009,2302
395261,2316
395545,2487
415858,2622
395504,2628
417539,2631
395950,2637
395993,2675
421894,2729
420819,2822
424518,2959
100858972,2966
771837,2967
423503,2972
428644,3062
422876,3083
374177,3091
396227,3315
418451,3321
422114,3396
374271,3487
422620,3490
429089,3491
419114,3547
419771,3587
424705,3595
422230,3597
419365,3604
374088,3617
420272,3646
416118,3656
395943,5080
415668,16
423947,36
428864,53
396199,142
426000,156
373907,196
424956,197
428227,204
396092,214
770904,241
770795,259
421755,262
420737,313
415926,327
100431102,328
424893,347
770561,372
427164,373
428752,374
428927,382
374026,405
421369,467
395693,468
418477,522
426673,506
419866,515
395497,526
420259,528
418162,529
418508,539
427269,549
100859755,575
426163,576
421875,577
100857890,9275
416371,635
422035,640
419784,643
420868,654
396407,7006
378927,680
770363,682
448833,685
420061,696
418295,715
418294,716
396255,794
428425,799
395808,819
416288,821
395963,824
423086,833
373996,857
396341,595
416749,899
417541,908
768858,914
422827,952
418408,961
771849,978
420741,989
420375,993
374068,1003
415797,1009
771294,1022
427391,1036
395800,1054
100113359,1058
419014,1075
421312,1114
395722,1191
771102,1208
427284,1211
428315,1236
428232,1269
418752,1284
396000,1291
396292,1292
771873,1297
430477,1307
417268,1317
428659,790
423118,1374
427214,1393
396475,1404
373998,1413
374000,1414
427008,1428
374135,1490
424716,1491
416184,1495
395964,1499
395374,1629
395775,1638
374050,1642
693255,1647
420481,143098
423357,1743
768904,1805
427946,1822
428529,1829
395654,1839
769430,1874
420206,1875
421943,1876
420854,1906
419559,1907
373908,1909
395723,1933
